# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-14 13:39:03 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03301500 ROLLING FORK NEAR BOSTON, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03301500
#            TS   parameter     statistic     Description
#         58922       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     q  
# 
agency_cd	site_no	datetime	58922_00060_00003	58922_00060_00003_cd
USGS	03301500	2017-06-26	2010	P
USGS	03301500	2017-06-27	997	P
USGS	03301500	2017-06-28	657	P
USGS	03301500	2017-06-29	486	P
USGS	03301500	2017-06-30	379	P
USGS	03301500	2017-07-01	360	P
USGS	03301500	2017-07-02	355	P
USGS	03301500	2017-07-03	599	P
USGS	03301500	2017-07-04	513	P
USGS	03301500	2017-07-05	546	P
USGS	03301500	2017-07-06	843	P
USGS	03301500	2017-07-07	1570	P
USGS	03301500	2017-07-08	3250	P
USGS	03301500	2017-07-09	1650	P
USGS	03301500	2017-07-10	1000	P
USGS	03301500	2017-07-11	694	P
USGS	03301500	2017-07-12	519	P
USGS	03301500	2017-07-13	393	P
USGS	03301500	2017-07-14	312	P
USGS	03301500	2017-07-15	266	P
USGS	03301500	2017-07-16	223	P
USGS	03301500	2017-07-17	185	P
USGS	03301500	2017-07-18	156	P
USGS	03301500	2017-07-19	134	P
USGS	03301500	2017-07-20	116	P
USGS	03301500	2017-07-21	105	P
USGS	03301500	2017-07-22	93.3	P
USGS	03301500	2017-07-23	105	P
USGS	03301500	2017-07-24	103	P
USGS	03301500	2017-07-25	81.5	P
USGS	03301500	2017-07-26	69.0	P
USGS	03301500	2017-07-27	62.3	P:e:q
USGS	03301500	2017-07-28	63.0	P:e:q
USGS	03301500	2017-07-29	63.7	P
USGS	03301500	2017-07-30	68.8	P
USGS	03301500	2017-07-31	114	P
USGS	03301500	2017-08-01	93.8	P
USGS	03301500	2017-08-02	88.9	P
USGS	03301500	2017-08-03	83.9	P
USGS	03301500	2017-08-04	96.5	P
USGS	03301500	2017-08-05	82.2	P
USGS	03301500	2017-08-06	76.0	P
USGS	03301500	2017-08-07	162	P
USGS	03301500	2017-08-08	138	P
USGS	03301500	2017-08-09	125	P
USGS	03301500	2017-08-10		
USGS	03301500	2017-08-11		
USGS	03301500	2017-08-12		
USGS	03301500	2017-08-13		
USGS	03301500	2017-08-14	79.8	P
USGS	03301500	2017-08-15	70.9	P
USGS	03301500	2017-08-16	60.3	P
USGS	03301500	2017-08-17	53.0	P
USGS	03301500	2017-08-18	98.8	P
USGS	03301500	2017-08-19	92.7	P
USGS	03301500	2017-08-20	308	P
USGS	03301500	2017-08-21	230	P
USGS	03301500	2017-08-22	148	P
USGS	03301500	2017-08-23	143	P
USGS	03301500	2017-08-24	156	P
USGS	03301500	2017-08-25	123	P
USGS	03301500	2017-08-26	100	P
USGS	03301500	2017-08-27	98.6	P
USGS	03301500	2017-08-28	81.6	P
USGS	03301500	2017-08-29	67.8	P
USGS	03301500	2017-08-30	59.1	P
USGS	03301500	2017-08-31	54.2	P
USGS	03301500	2017-09-01	1520	P
USGS	03301500	2017-09-02	7090	P
USGS	03301500	2017-09-03	10200	P
USGS	03301500	2017-09-04	8140	P
USGS	03301500	2017-09-05	1770	P
USGS	03301500	2017-09-06	1210	P
USGS	03301500	2017-09-07	1410	P
USGS	03301500	2017-09-08	1020	P
USGS	03301500	2017-09-09	653	P
USGS	03301500	2017-09-10	475	P
USGS	03301500	2017-09-11	362	P
USGS	03301500	2017-09-12	298	P
USGS	03301500	2017-09-13	290	P
USGS	03301500	2017-09-14	283	P
USGS	03301500	2017-09-15	278	P
USGS	03301500	2017-09-16	307	P
USGS	03301500	2017-09-17	373	P
USGS	03301500	2017-09-18	295	P
USGS	03301500	2017-09-19	261	P
USGS	03301500	2017-09-20	280	P
USGS	03301500	2017-09-21	227	P
USGS	03301500	2017-09-22	187	P
USGS	03301500	2017-09-23	160	P
USGS	03301500	2017-09-24	146	P
USGS	03301500	2017-09-25	135	P
USGS	03301500	2017-09-26	119	P
USGS	03301500	2017-09-27	104	P
USGS	03301500	2017-09-28	93.1	P
USGS	03301500	2017-09-29	85.4	P
USGS	03301500	2017-09-30	74.4	P
USGS	03301500	2017-10-01	66.5	P
USGS	03301500	2017-10-02	59.5	P
USGS	03301500	2017-10-03	55.2	P
USGS	03301500	2017-10-04	51.4	P
USGS	03301500	2017-10-05	47.0	P
USGS	03301500	2017-10-06	44.0	P
USGS	03301500	2017-10-07	40.5	P
USGS	03301500	2017-10-08	4720	P
USGS	03301500	2017-10-09	7130	P
USGS	03301500	2017-10-10	3910	P
USGS	03301500	2017-10-11	7560	P
USGS	03301500	2017-10-12	3670	P
USGS	03301500	2017-10-13	1270	P
USGS	03301500	2017-10-14	841	P
USGS	03301500	2017-10-15	620	P
USGS	03301500	2017-10-16	478	P
USGS	03301500	2017-10-17	376	P
USGS	03301500	2017-10-18	313	P
USGS	03301500	2017-10-19	272	P
USGS	03301500	2017-10-20	245	P
USGS	03301500	2017-10-21	217	P
USGS	03301500	2017-10-22	193	P
USGS	03301500	2017-10-23	313	P
USGS	03301500	2017-10-24	623	P
USGS	03301500	2017-10-25	557	P
USGS	03301500	2017-10-26	640	P
USGS	03301500	2017-10-27	548	P
USGS	03301500	2017-10-28	1390	P
USGS	03301500	2017-10-29	2320	P
USGS	03301500	2017-10-30	2140	P
USGS	03301500	2017-10-31	1210	P
USGS	03301500	2017-11-01	834	P
USGS	03301500	2017-11-02	769	P
USGS	03301500	2017-11-03	1440	P
USGS	03301500	2017-11-04	4520	P
USGS	03301500	2017-11-05	3370	P
USGS	03301500	2017-11-06	1770	P
USGS	03301500	2017-11-07	1360	P
USGS	03301500	2017-11-08	1610	P
USGS	03301500	2017-11-09	1990	P
USGS	03301500	2017-11-10	1510	P
USGS	03301500	2017-11-11	1060	P
USGS	03301500	2017-11-12	834	P
USGS	03301500	2017-11-13	705	P
USGS	03301500	2017-11-14	610	P
USGS	03301500	2017-11-15	547	P
USGS	03301500	2017-11-16	533	P
USGS	03301500	2017-11-17	506	P
USGS	03301500	2017-11-18	481	P
USGS	03301500	2017-11-19	899	P
USGS	03301500	2017-11-20	1130	P
USGS	03301500	2017-11-21	1180	P
USGS	03301500	2017-11-22	906	P
USGS	03301500	2017-11-23	715	P
USGS	03301500	2017-11-24	608	P
USGS	03301500	2017-11-25	536	P
USGS	03301500	2017-11-26	477	P
USGS	03301500	2017-11-27	426	P
USGS	03301500	2017-11-28	387	P
USGS	03301500	2017-11-29	354	P
USGS	03301500	2017-11-30	328	P
USGS	03301500	2017-12-01	309	P
USGS	03301500	2017-12-02	290	P
USGS	03301500	2017-12-03	275	P
USGS	03301500	2017-12-04	259	P
USGS	03301500	2017-12-05	361	P
USGS	03301500	2017-12-06	611	P
USGS	03301500	2017-12-07	743	P
USGS	03301500	2017-12-08	673	P
USGS	03301500	2017-12-09	551	P
USGS	03301500	2017-12-10	449	P
USGS	03301500	2017-12-11	384	P
USGS	03301500	2017-12-12	344	P
USGS	03301500	2017-12-13	317	P
