# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-14 13:34:44 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03287000 KENTUCKY RIVER AT LOCK 6 NEAR SALVISA, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03287000
#            TS   parameter     statistic     Description
#         58779       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	58779_00060_00003	58779_00060_00003_cd
USGS	03287000	2017-01-24	18300	P
USGS	03287000	2017-01-25	25900	P
USGS	03287000	2017-01-26	26200	P
USGS	03287000	2017-01-27	19200	P
USGS	03287000	2017-01-28	14100	P
USGS	03287000	2017-01-29	10500	P
USGS	03287000	2017-01-30	9460	P
USGS	03287000	2017-01-31	7530	P
USGS	03287000	2017-02-01	6290	P
USGS	03287000	2017-02-02	5470	P
USGS	03287000	2017-02-03	5380	P
USGS	03287000	2017-02-04	5140	P
USGS	03287000	2017-02-05	3270	P
USGS	03287000	2017-02-06	2870	P
USGS	03287000	2017-02-07	2810	P
USGS	03287000	2017-02-08	3070	P
USGS	03287000	2017-02-09	3930	P
USGS	03287000	2017-02-10	6900	P
USGS	03287000	2017-02-11	6320	P
USGS	03287000	2017-02-12	5420	P
USGS	03287000	2017-02-13	5030	P
USGS	03287000	2017-02-14	5040	P
USGS	03287000	2017-02-15	3560	P
USGS	03287000	2017-02-16	3570	P
USGS	03287000	2017-02-17	3300	P
USGS	03287000	2017-02-18	2830	P
USGS	03287000	2017-02-19	2650	P
USGS	03287000	2017-02-20	2790	P
USGS	03287000	2017-02-21	2500	P
USGS	03287000	2017-02-22	2490	P
USGS	03287000	2017-02-23	2210	P
USGS	03287000	2017-02-24	2270	P
USGS	03287000	2017-02-25	2540	P
USGS	03287000	2017-02-26	4040	P
USGS	03287000	2017-02-27	6840	P
USGS	03287000	2017-02-28	7530	P
USGS	03287000	2017-03-01	13000	P
USGS	03287000	2017-03-02	21600	P
USGS	03287000	2017-03-03	20500	P
USGS	03287000	2017-03-04	18400	P
USGS	03287000	2017-03-05	12900	P
USGS	03287000	2017-03-06	10700	P
USGS	03287000	2017-03-07	8600	P
USGS	03287000	2017-03-08	8310	P
USGS	03287000	2017-03-09	9270	P
USGS	03287000	2017-03-10	9810	P
USGS	03287000	2017-03-11	8810	P
USGS	03287000	2017-03-12	8110	P
USGS	03287000	2017-03-13	7140	P
USGS	03287000	2017-03-14	6390	P
USGS	03287000	2017-03-15	5730	P
USGS	03287000	2017-03-16	5630	P
USGS	03287000	2017-03-17	5010	P
USGS	03287000	2017-03-18	4170	P
USGS	03287000	2017-03-19	4120	P
USGS	03287000	2017-03-20	4710	P
USGS	03287000	2017-03-21	4750	P
USGS	03287000	2017-03-22	4470	P
USGS	03287000	2017-03-23	4140	P
USGS	03287000	2017-03-24	3820	P
USGS	03287000	2017-03-25	3470	P
USGS	03287000	2017-03-26	3250	P
USGS	03287000	2017-03-27	3880	P
USGS	03287000	2017-03-28	9520	P
USGS	03287000	2017-03-29	17600	P
USGS	03287000	2017-03-30	13800	P
USGS	03287000	2017-03-31	21700	P
USGS	03287000	2017-04-01	22900	P
USGS	03287000	2017-04-02	15700	P
USGS	03287000	2017-04-03	12900	P
USGS	03287000	2017-04-04	10700	P
USGS	03287000	2017-04-05	9750	P
USGS	03287000	2017-04-06	15600	P
USGS	03287000	2017-04-07	15400	P
USGS	03287000	2017-04-08	12200	P
USGS	03287000	2017-04-09	9200	P
USGS	03287000	2017-04-10	6900	P
USGS	03287000	2017-04-11	6030	P
USGS	03287000	2017-04-12	5390	P
USGS	03287000	2017-04-13	4660	P
USGS	03287000	2017-04-14	6120	P
USGS	03287000	2017-04-15	6350	P
USGS	03287000	2017-04-16	5240	P
USGS	03287000	2017-04-17	4950	P
USGS	03287000	2017-04-18	4400	P
USGS	03287000	2017-04-19	4160	P
USGS	03287000	2017-04-20	4500	P
USGS	03287000	2017-04-21	4990	P
USGS	03287000	2017-04-22	5560	P
USGS	03287000	2017-04-23	5640	P
USGS	03287000	2017-04-24	13900	P
USGS	03287000	2017-04-25	29200	P
USGS	03287000	2017-04-26	32100	P
USGS	03287000	2017-04-27	20900	P
USGS	03287000	2017-04-28	13100	P
USGS	03287000	2017-04-29	10400	P
USGS	03287000	2017-04-30	8780	P
USGS	03287000	2017-05-01	7910	P
USGS	03287000	2017-05-02	7700	P
USGS	03287000	2017-05-03	7300	P
USGS	03287000	2017-05-04	6370	P
USGS	03287000	2017-05-05	5780	P
USGS	03287000	2017-05-06	6600	P
USGS	03287000	2017-05-07	5900	P
USGS	03287000	2017-05-08	5220	P
USGS	03287000	2017-05-09	4560	P
USGS	03287000	2017-05-10	3990	P
USGS	03287000	2017-05-11	3810	P
USGS	03287000	2017-05-12	5960	P
USGS	03287000	2017-05-13	10700	P
USGS	03287000	2017-05-14	9670	P
USGS	03287000	2017-05-15	7940	P
USGS	03287000	2017-05-16	6550	P
USGS	03287000	2017-05-17	5050	P
USGS	03287000	2017-05-18	3940	P
USGS	03287000	2017-05-19	3080	P
USGS	03287000	2017-05-20	2920	P
USGS	03287000	2017-05-21	9430	P
USGS	03287000	2017-05-22	17700	P
USGS	03287000	2017-05-23	14600	P
USGS	03287000	2017-05-24	9380	P
USGS	03287000	2017-05-25	7670	P
USGS	03287000	2017-05-26	13000	P
USGS	03287000	2017-05-27	18300	P
USGS	03287000	2017-05-28	17900	P
USGS	03287000	2017-05-29	16100	P
USGS	03287000	2017-05-30	12800	P
USGS	03287000	2017-05-31	10100	P
USGS	03287000	2017-06-01	7190	P
USGS	03287000	2017-06-02	5810	P
USGS	03287000	2017-06-03	4510	P
USGS	03287000	2017-06-04	3450	P
USGS	03287000	2017-06-05	2870	P
USGS	03287000	2017-06-06	4030	P
USGS	03287000	2017-06-07	7490	P
USGS	03287000	2017-06-08	5680	P
USGS	03287000	2017-06-09	3790	P
USGS	03287000	2017-06-10	2830	P
USGS	03287000	2017-06-11	2280	P
USGS	03287000	2017-06-12	1980	P
USGS	03287000	2017-06-13	1690	P
USGS	03287000	2017-06-14	1500	P
USGS	03287000	2017-06-15	3430	P
USGS	03287000	2017-06-16	4360	P
USGS	03287000	2017-06-17	4410	P
USGS	03287000	2017-06-18	4140	P
USGS	03287000	2017-06-19	2950	P
USGS	03287000	2017-06-20	2580	P
USGS	03287000	2017-06-21	2860	P
USGS	03287000	2017-06-22	3380	P
USGS	03287000	2017-06-23	3050	P
USGS	03287000	2017-06-24	14800	P
USGS	03287000	2017-06-25	11300	P
USGS	03287000	2017-06-26	6270	P
USGS	03287000	2017-06-27	4290	P
USGS	03287000	2017-06-28	2940	P
USGS	03287000	2017-06-29	2210	P
USGS	03287000	2017-06-30	1730	P
USGS	03287000	2017-07-01	1340	P
USGS	03287000	2017-07-02	1260	P
USGS	03287000	2017-07-03	1240	P
USGS	03287000	2017-07-04	1220	P
USGS	03287000	2017-07-05	3070	P
USGS	03287000	2017-07-06	4090	P
USGS	03287000	2017-07-07	3740	P
USGS	03287000	2017-07-08	4630	P
USGS	03287000	2017-07-09	5380	P
USGS	03287000	2017-07-10	4250	P
USGS	03287000	2017-07-11	3160	P
USGS	03287000	2017-07-12	2270	P
USGS	03287000	2017-07-13	2630	P
USGS	03287000	2017-07-14	2320	P
USGS	03287000	2017-07-15	1440	P
USGS	03287000	2017-07-16	725	P
USGS	03287000	2017-07-17	766	P
USGS	03287000	2017-07-18	794	P
USGS	03287000	2017-07-19	806	P
USGS	03287000	2017-07-20	730	P
USGS	03287000	2017-07-21	733	P
USGS	03287000	2017-07-22	593	P
USGS	03287000	2017-07-23	476	P
USGS	03287000	2017-07-24	657	P
USGS	03287000	2017-07-25	712	P
USGS	03287000	2017-07-26	811	P
USGS	03287000	2017-07-27	840	P
USGS	03287000	2017-07-28	980	P
USGS	03287000	2017-07-29	1250	P
USGS	03287000	2017-07-30	2390	P
USGS	03287000	2017-07-31	4010	P
USGS	03287000	2017-08-01	4230	P
USGS	03287000	2017-08-02	2890	P
USGS	03287000	2017-08-03	1680	P
USGS	03287000	2017-08-04	1180	P
USGS	03287000	2017-08-05	941	P
USGS	03287000	2017-08-06	1050	P
USGS	03287000	2017-08-07	1240	P
USGS	03287000	2017-08-08	1880	P
USGS	03287000	2017-08-09	6070	P
USGS	03287000	2017-08-10	7640	P
USGS	03287000	2017-08-11	6290	P
USGS	03287000	2017-08-12	5720	P
USGS	03287000	2017-08-13	4430	P
USGS	03287000	2017-08-14	3230	P
USGS	03287000	2017-08-15	2580	P
USGS	03287000	2017-08-16	2200	P
USGS	03287000	2017-08-17	2800	P
USGS	03287000	2017-08-18	6420	P
USGS	03287000	2017-08-19	11800	P
USGS	03287000	2017-08-20	6820	P
USGS	03287000	2017-08-21	5330	P
USGS	03287000	2017-08-22	4280	P
USGS	03287000	2017-08-23	4200	P
USGS	03287000	2017-08-24	4190	P
USGS	03287000	2017-08-25	3510	P
USGS	03287000	2017-08-26	3680	P
USGS	03287000	2017-08-27	3100	P
USGS	03287000	2017-08-28	2550	P
USGS	03287000	2017-08-29	1890	P
USGS	03287000	2017-08-30	1850	P
USGS	03287000	2017-08-31	2690	P
USGS	03287000	2017-09-01	3090	P
USGS	03287000	2017-09-02	7450	P
USGS	03287000	2017-09-03	8370	P
USGS	03287000	2017-09-04	7420	P
USGS	03287000	2017-09-05	4890	P
USGS	03287000	2017-09-06	4860	P
USGS	03287000	2017-09-07	4390	P
USGS	03287000	2017-09-08	3750	P
USGS	03287000	2017-09-09	2650	P
USGS	03287000	2017-09-10	1900	P
USGS	03287000	2017-09-11	1600	P
USGS	03287000	2017-09-12	2100	P
USGS	03287000	2017-09-13	1540	P
USGS	03287000	2017-09-14	1210	P
USGS	03287000	2017-09-15	1350	P
USGS	03287000	2017-09-16	1290	P
USGS	03287000	2017-09-17	1190	P
USGS	03287000	2017-09-18	1090	P
USGS	03287000	2017-09-19	975	P
USGS	03287000	2017-09-20	1440	P
USGS	03287000	2017-09-21	2470	P
USGS	03287000	2017-09-22	2160	P
USGS	03287000	2017-09-23	1390	P
USGS	03287000	2017-09-24	976	P
USGS	03287000	2017-09-25	790	P
USGS	03287000	2017-09-26	716	P
USGS	03287000	2017-09-27	615	P
USGS	03287000	2017-09-28	580	P
USGS	03287000	2017-09-29	514	P
USGS	03287000	2017-09-30	467	P
USGS	03287000	2017-10-01	441	P
USGS	03287000	2017-10-02	393	P
USGS	03287000	2017-10-03	362	P
USGS	03287000	2017-10-04	355	P
USGS	03287000	2017-10-05	352	P
USGS	03287000	2017-10-06	357	P
USGS	03287000	2017-10-07	358	P
USGS	03287000	2017-10-08	977	P
USGS	03287000	2017-10-09	3640	P
USGS	03287000	2017-10-10	5400	P
USGS	03287000	2017-10-11	7070	P
USGS	03287000	2017-10-12	8190	P
USGS	03287000	2017-10-13	5480	P
USGS	03287000	2017-10-14	3830	P
USGS	03287000	2017-10-15	2930	P
USGS	03287000	2017-10-16	2390	P
USGS	03287000	2017-10-17	2710	P
USGS	03287000	2017-10-18	2450	P
USGS	03287000	2017-10-19	2990	P
USGS	03287000	2017-10-20	3300	P
USGS	03287000	2017-10-21	2230	P
USGS	03287000	2017-10-22	1560	P
USGS	03287000	2017-10-23	1070	P
USGS	03287000	2017-10-24	2830	P
USGS	03287000	2017-10-25	5530	P
USGS	03287000	2017-10-26	6860	P
USGS	03287000	2017-10-27	5800	P
USGS	03287000	2017-10-28	4390	P
USGS	03287000	2017-10-29	6220	P
USGS	03287000	2017-10-30	6190	P
USGS	03287000	2017-10-31	5180	P
USGS	03287000	2017-11-01	5280	P
USGS	03287000	2017-11-02	5150	P
USGS	03287000	2017-11-03	5720	P
USGS	03287000	2017-11-04	8070	P
USGS	03287000	2017-11-05	6650	P
USGS	03287000	2017-11-06	5620	P
USGS	03287000	2017-11-07	5280	P
USGS	03287000	2017-11-08	7640	P
USGS	03287000	2017-11-09	7140	P
USGS	03287000	2017-11-10	6160	P
USGS	03287000	2017-11-11	5000	P
USGS	03287000	2017-11-12	3500	P
USGS	03287000	2017-11-13	3470	P
USGS	03287000	2017-11-14	3090	P
USGS	03287000	2017-11-15	2560	P
USGS	03287000	2017-11-16	2300	P
USGS	03287000	2017-11-17	2530	P
USGS	03287000	2017-11-18	1960	P
USGS	03287000	2017-11-19	2340	P
USGS	03287000	2017-11-20	3100	P
USGS	03287000	2017-11-21	3370	P
USGS	03287000	2017-11-22	3820	P
USGS	03287000	2017-11-23	3300	P
USGS	03287000	2017-11-24	2890	P
USGS	03287000	2017-11-25	2620	P
USGS	03287000	2017-11-26	2380	P
USGS	03287000	2017-11-27	2490	P
USGS	03287000	2017-11-28	2120	P
USGS	03287000	2017-11-29	2100	P
USGS	03287000	2017-11-30	1470	P
USGS	03287000	2017-12-01	1930	P
USGS	03287000	2017-12-02	1440	P
USGS	03287000	2017-12-03	1250	P
USGS	03287000	2017-12-04	1190	P
USGS	03287000	2017-12-05	1240	P
USGS	03287000	2017-12-06	1560	P
USGS	03287000	2017-12-07	1610	P
USGS	03287000	2017-12-08	1640	P
USGS	03287000	2017-12-09	1730	P
USGS	03287000	2017-12-10	1640	P
USGS	03287000	2017-12-11	1780	P
USGS	03287000	2017-12-12	1470	P
USGS	03287000	2017-12-13	1660	P
